@relation 'mydata-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,5'

@attribute User.country {Australia,Belgium,Brazil,Canada,China,'Costa Rica',Croatia,'Czech Republic',Denmark,Egypt,Finland,France,Germany,Greece,Hawaii,Honduras,Hungary,India,'India ',Iran,Ireland,Israel,Italy,Japan,Jordan,Kenya,Korea,Kuwait,Malaysia,Mexico,Netherlands,'New Zeland',Norway,Phillippines,'Puerto Rico','Saudi Arabia',Scotland,Singapore,'South Africa',Spain,Swiss,Switzerland,Syria,Taiwan,Thailand,UK,'United Arab Emirates',USA}
@attribute Nr..reviews {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,73,74,75,76,77,78,79,82,83,84,85,86,87,88,91,92,93,95,96,97,101,102,103,106,108,110,112,113,114,116,118,119,121,123,125,127,130,131,136,137,139,142,146,148,153,154,156,159,160,161,164,167,169,182,184,189,235,240,252,262,275,289,290,320,333,372,415,418,576,608,775}
@attribute Nr..hotel.reviews {0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49,52,55,56,58,61,71,72,75,76,78,79,107,111,117,126,162,263}
@attribute Helpful.votes {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,51,52,53,54,55,56,58,59,60,61,63,65,67,68,70,71,72,74,75,76,78,80,81,82,85,86,87,88,93,98,99,102,103,105,111,112,113,115,116,119,129,131,132,133,134,142,150,161,167,169,200,206,255,265,267,299,300,319,339,340,365}
@attribute Period.of.stay {Dec-Feb,Jun-Aug,Mar-May,Sep-Nov}
@attribute Traveler.type {Business,Couples,Families,Friends,Solo}
@attribute Pool {NO,YES}
@attribute Gym {NO,YES}
@attribute Tennis.court {NO,YES}
@attribute Spa {NO,YES}
@attribute Casino {NO,YES}
@attribute Free.internet {NO,YES}
@attribute Hotel.name {'Bellagio Las Vegas','Caesars Palace','Circus Circus Hotel & Casino Las Vegas','Encore at wynn Las Vegas','Excalibur Hotel & Casino','Hilton Grand Vacations at the Flamingo','Hilton Grand Vacations on the Boulevard','Marriott\'s Grand Chateau','Monte Carlo Resort&Casino','Paris Las Vegas','The Cosmopolitan Las Vegas','The Cromwell','The Palazzo Resort Hotel Casino','The Venetian Las Vegas Hotel','The Westin las Vegas Hotel Casino & Spa','Treasure Island- TI Hotel & Casino','Tropicana Las Vegas - A Double Tree by Hilton Hotel','Trump International Hotel Las Vegas','Tuscany Las Vegas Suites & Casino','Wyndham Grand Desert','Wynn Las Vegas'}
@attribute Hotel.stars {3,'3,5',4,'4,5',5}
@attribute Nr..rooms {188,315,716,732,787,826,1228,1282,1467,2034,2700,2884,2916,2959,3003,3025,3348,3773,3933,3981,4027}
@attribute User.continent {Africa,Asia,Europe,'North America',Oceania,'South America'}
@attribute Member.years {-1806,0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Review.month {April,August,December,February,January,July,June,March,May,November,October,September}
@attribute Review.weekday {Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday}
@attribute Score {1,2,3,4,5}

@data
UK,41,7,24,Mar-May,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,3,May,Monday,4
Ireland,7,5,7,Jun-Aug,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,9,June,Tuesday,4
Canada,13,9,15,Jun-Aug,Friends,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,'North America',1,June,Monday,4
UK,10,5,4,Jun-Aug,Families,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,1,July,Friday,4
Ireland,19,17,16,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,5,September,Wednesday,4
Hungary,8,5,8,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,8,November,Friday,4
Australia,11,5,8,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Oceania,1,January,Thursday,4
Canada,19,12,167,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',9,February,Monday,4
USA,43,8,20,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',1,March,Friday,4
Canada,12,8,3,Mar-May,Friends,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',2,March,Saturday,4
USA,15,14,7,Mar-May,Friends,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',9,April,Tuesday,4
Germany,10,0,5,Mar-May,Friends,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Europe,3,May,Sunday,4
Canada,6,5,5,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',2,June,Tuesday,4
Malaysia,43,14,27,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Asia,5,July,Thursday,4
Mexico,97,31,37,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'South America',8,August,Saturday,4
UK,7,3,4,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Europe,5,August,Friday,4
USA,78,11,30,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',2,September,Tuesday,4
Australia,27,9,8,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Oceania,2,November,Friday,4
Canada,12,3,7,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',4,December,Saturday,4
UK,34,17,30,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,8,January,Sunday,4
Canada,13,3,8,Mar-May,Business,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,'North America',3,March,Wednesday,4
UK,14,4,9,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,1,March,Friday,4
'India ',88,15,103,Mar-May,Business,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Asia,3,April,Monday,4
'New Zeland',8,4,0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Oceania,1,May,Tuesday,4
UK,130,41,61,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,3,June,Tuesday,4
Australia,79,78,105,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Oceania,7,June,Wednesday,4
UK,13,10,16,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,10,July,Wednesday,4
UK,18,6,17,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,1,July,Monday,4
India,31,8,11,Sep-Nov,Solo,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Asia,1,November,Sunday,4
USA,161,33,85,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',3,January,Friday,4
USA,46,4,21,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',2,April,Saturday,4
UK,63,27,35,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,Europe,5,May,Wednesday,4
USA,17,15,13,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',2,June,Sunday,4
Canada,54,18,31,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',5,August,Wednesday,4
USA,23,7,2,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',3,December,Friday,4
USA,48,21,67,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',13,December,Sunday,4
Australia,16,9,14,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,Oceania,3,January,Thursday,4
Switzerland,36,9,15,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,Europe,2,February,Saturday,4
Ireland,23,7,21,Mar-May,Friends,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,Europe,7,April,Thursday,4
Australia,3,3,0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,Oceania,7,July,Tuesday,4
USA,19,8,56,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,'North America',10,August,Sunday,4
USA,37,8,9,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,'North America',3,February,Tuesday,4
USA,31,10,14,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,'North America',5,April,Sunday,4
USA,42,8,22,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,'North America',6,June,Monday,4
Spain,19,8,10,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,Europe,3,July,Wednesday,4
UK,75,19,93,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,Europe,8,August,Sunday,4
USA,91,16,26,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,'North America',3,August,Wednesday,4
USA,252,55,113,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,'The Palazzo Resort Hotel Casino',5,3025,'North America',8,December,Monday,4
Canada,7,5,20,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,'Wynn Las Vegas',5,2700,'North America',3,February,Saturday,4
USA,21,5,12,Mar-May,Business,YES,YES,YES,YES,YES,YES,'Wynn Las Vegas',5,2700,'North America',8,March,Monday,4
USA,11,7,10,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Wynn Las Vegas',5,2700,'North America',1,April,Monday,4
USA,142,17,31,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,'Wynn Las Vegas',5,2700,'North America',3,October,Monday,4
'United Arab Emirates',16,7,6,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,Asia,7,April,Monday,4
Singapore,19,11,17,Mar-May,Families,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,Asia,7,May,Friday,4
USA,26,8,1,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,'North America',6,July,Monday,4
Iran,3,3,2,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,Asia,4,August,Sunday,4
Australia,35,16,17,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,Oceania,2,November,Tuesday,4
USA,110,19,76,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,'North America',2,December,Tuesday,4
USA,2,0,2,Dec-Feb,Business,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,'North America',1,January,Saturday,4
UK,262,75,150,Jun-Aug,Families,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,Europe,2,August,Monday,4
Australia,92,12,27,Sep-Nov,Business,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,Oceania,2,September,Saturday,4
USA,148,33,55,Sep-Nov,Business,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,'North America',3,November,Wednesday,4
Canada,26,7,22,Dec-Feb,Couples,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,'North America',4,December,Wednesday,4
USA,13,4,1,Dec-Feb,Couples,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,'North America',2,December,Wednesday,4
UK,127,40,81,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,Europe,8,February,Thursday,4
USA,113,38,27,Mar-May,Friends,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,'North America',1,March,Tuesday,4
Honduras,73,32,99,Mar-May,Friends,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,'South America',10,April,Thursday,4
USA,34,8,26,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,'North America',4,June,Tuesday,4
UK,34,10,7,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,Europe,4,October,Thursday,4
Netherlands,92,49,18,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,Europe,5,March,Thursday,4
Australia,106,37,58,Mar-May,Business,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,Oceania,3,April,Wednesday,4
Canada,7,5,45,Mar-May,Families,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,'North America',10,April,Monday,4
Finland,39,18,9,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,Europe,4,July,Thursday,4
USA,78,17,24,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,'North America',5,August,Monday,4
USA,9,5,11,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,'North America',9,October,Wednesday,4
Mexico,22,15,25,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,'North America',6,November,Monday,4
Australia,20,16,9,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,Oceania,7,December,Tuesday,4
Canada,160,34,88,Dec-Feb,Business,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,'North America',6,January,Saturday,4
USA,372,78,169,Dec-Feb,Business,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,'North America',4,January,Sunday,4
UK,95,37,55,Mar-May,Friends,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,Europe,6,March,Tuesday,4
USA,60,4,31,Mar-May,Couples,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,'North America',2,April,Tuesday,4
Australia,275,79,339,Mar-May,Couples,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,Oceania,7,May,Sunday,4
Canada,46,39,42,Mar-May,Business,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,'North America',6,May,Wednesday,4
Kuwait,47,23,20,Sep-Nov,Couples,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,Asia,1,November,Thursday,4
Norway,86,12,46,Sep-Nov,Couples,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,Europe,5,November,Sunday,4
Germany,64,33,23,Dec-Feb,Families,YES,YES,NO,NO,YES,YES,'Marriott\'s Grand Chateau','3,5',732,Europe,7,December,Thursday,4
USA,39,10,13,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Tuscany Las Vegas Suites & Casino',3,716,'North America',3,April,Wednesday,4
Canada,7,3,7,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,'Tuscany Las Vegas Suites & Casino',3,716,'North America',3,July,Friday,4
USA,11,3,19,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Tuscany Las Vegas Suites & Casino',3,716,'North America',6,August,Monday,4
USA,167,71,119,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,'Tuscany Las Vegas Suites & Casino',3,716,'North America',8,November,Sunday,4
Australia,32,12,22,Jun-Aug,Couples,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,Oceania,5,June,Wednesday,4
USA,17,4,4,Jun-Aug,Families,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,'North America',0,August,Sunday,4
USA,290,263,300,Sep-Nov,Business,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,'North America',10,September,Saturday,4
Australia,26,7,9,Sep-Nov,Families,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,Oceania,0,October,Friday,4
India,116,44,53,Sep-Nov,Couples,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,Asia,5,October,Saturday,4
'Czech Republic',14,5,15,Sep-Nov,Business,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,Europe,5,November,Thursday,4
USA,20,9,25,Dec-Feb,Couples,YES,YES,NO,NO,NO,YES,'Hilton Grand Vacations at the Flamingo',3,315,'North America',8,December,Tuesday,4
USA,17,3,12,Dec-Feb,Friends,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',2,January,Monday,4
USA,34,12,35,Mar-May,Couples,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',3,March,Tuesday,4
Australia,26,5,5,Mar-May,Families,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,Oceania,1,May,Thursday,4
USA,54,10,15,Mar-May,Business,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',5,May,Tuesday,4
USA,27,8,16,Jun-Aug,Friends,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',4,July,Thursday,4
USA,415,162,265,Sep-Nov,Business,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',8,September,Sunday,4
UK,24,12,30,Sep-Nov,Couples,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,Europe,4,October,Monday,4
USA,182,24,47,Sep-Nov,Families,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',2,November,Sunday,4
USA,289,28,133,Dec-Feb,Families,YES,YES,YES,NO,NO,YES,'Wyndham Grand Desert','3,5',787,'North America',5,December,Tuesday,4
Ireland,31,11,20,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Europe,2,January,Friday,4
USA,60,16,15,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,'North America',5,February,Saturday,4
Australia,22,13,26,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Oceania,2,April,Friday,4
Australia,83,10,26,Mar-May,Families,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Oceania,1,May,Tuesday,4
Australia,15,6,19,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Oceania,4,July,Wednesday,4
UK,13,7,12,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Europe,5,July,Sunday,4
UK,39,20,31,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,Europe,8,October,Thursday,4
USA,6,6,12,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'The Venetian Las Vegas Hotel',5,4027,'North America',10,December,Wednesday,4
Australia,16,6,3,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,Oceania,3,January,Saturday,4
USA,30,6,26,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,'North America',3,February,Tuesday,4
USA,32,5,11,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,'North America',6,June,Sunday,4
Korea,77,18,48,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,Asia,10,July,Saturday,4
USA,11,8,2,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,'North America',0,August,Monday,4
USA,62,13,31,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,'North America',2,September,Tuesday,4
UK,13,6,12,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,Europe,1,October,Saturday,4
India,4,4,1,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,'Bellagio Las Vegas',5,3933,Asia,1,December,Monday,4
USA,14,3,7,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',7,January,Saturday,4
USA,116,12,43,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',4,February,Tuesday,4
USA,56,16,54,Mar-May,Business,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',9,April,Tuesday,4
USA,50,15,23,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',3,July,Friday,4
UK,22,9,11,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,Europe,3,July,Wednesday,4
USA,20,10,27,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',2,September,Thursday,4
USA,48,8,25,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',6,November,Monday,4
USA,24,7,6,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,'Paris Las Vegas',4,2916,'North America',1,December,Thursday,4
Canada,20,13,17,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',4,January,Monday,4
Italy,189,72,129,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,Europe,3,February,Friday,4
USA,38,22,47,Mar-May,Business,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',4,April,Monday,4
Egypt,169,43,85,Mar-May,Solo,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,Africa,12,April,Sunday,4
USA,17,10,18,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',3,May,Tuesday,4
USA,96,47,161,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',11,June,Monday,4
India,12,11,9,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,Asia,6,July,Monday,4
USA,21,6,3,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',5,August,Tuesday,4
Canada,50,13,29,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',8,November,Thursday,4
USA,154,23,31,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',4,November,Thursday,4
USA,20,19,112,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,'The Westin las Vegas Hotel Casino & Spa',4,826,'North America',5,December,Tuesday,4
USA,11,4,13,Dec-Feb,Friends,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',9,January,Thursday,5
USA,36,9,25,Mar-May,Families,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',2,February,Saturday,5
Canada,30,12,17,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'Excalibur Hotel & Casino',3,3981,'North America',8,February,Friday,5
USA,26,10,28,Mar-May,Solo,YES,YES,NO,YES,YES,YES,'Excalibur Hotel & Casino',3,3981,'North America',1,March,Wednesday,5
Ireland,8,7,9,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Excalibur Hotel & Casino',3,3981,Europe,8,March,Wednesday,5
Canada,11,8,13,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Excalibur Hotel & Casino',3,3981,'North America',7,April,Friday,5
Scotland,24,10,13,Mar-May,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,5,April,Wednesday,5
Mexico,56,14,36,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,'North America',3,December,Monday,5
USA,17,9,16,Dec-Feb,Solo,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',-1806,February,Monday,5
Australia,21,20,14,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Oceania,3,July,Wednesday,5
Australia,12,7,4,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Oceania,5,October,Monday,5
Thailand,4,3,1,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,Asia,7,November,Friday,5
Canada,21,16,48,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,'Treasure Island- TI Hotel & Casino',4,2884,'North America',12,December,Thursday,5
USA,12,6,1,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,'North America',2,January,Sunday,5
Ireland,19,9,28,Mar-May,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Europe,3,April,Friday,5
'New Zeland',8,7,3,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Oceania,1,August,Saturday,5
Australia,15,4,6,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Oceania,0,August,Friday,5
Australia,5,3,2,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,Oceania,5,September,Wednesday,5
